Date,Open,High,Low,Close,Adj Close,Volume
2021-05-10,5.150000,5.600000,5.150000,5.600000,5.600000,43747153
2021-05-11,5.650000,6.150000,5.500000,6.150000,6.150000,189569965
2021-05-12,6.300000,6.350000,5.650000,5.700000,5.700000,86929070
2021-05-14,5.800000,5.900000,5.550000,5.650000,5.650000,25607602
2021-05-17,5.700000,5.750000,5.500000,5.550000,5.550000,17214302
2021-05-18,5.600000,5.650000,5.500000,5.550000,5.550000,17667860
2021-05-19,5.550000,5.700000,5.500000,5.600000,5.600000,11412731
2021-05-20,5.650000,5.650000,5.500000,5.500000,5.500000,11357038
2021-05-21,5.550000,5.550000,5.400000,5.450000,5.450000,17845932
2021-05-24,5.450000,5.500000,5.350000,5.450000,5.450000,24478228
2021-05-25,5.500000,5.500000,5.400000,5.400000,5.400000,19763738
2021-05-26,5.400000,5.900000,5.350000,5.900000,5.900000,55685268
2021-05-27,6.050000,6.150000,5.600000,5.750000,5.750000,60683677
2021-05-28,5.800000,5.850000,5.650000,5.700000,5.700000,24379852
2021-05-31,5.700000,5.800000,5.650000,5.700000,5.700000,21102819
2021-06-01,5.750000,6.050000,5.650000,5.900000,5.900000,46123605
2021-06-02,6.050000,6.450000,5.900000,6.450000,6.450000,173915134
2021-06-03,6.650000,7.050000,6.450000,7.050000,7.050000,185927034
2021-06-04,7.200000,7.600000,7.050000,7.350000,7.350000,204370435
2021-06-07,7.550000,7.550000,7.000000,7.250000,7.250000,116320815
2021-06-08,7.350000,7.350000,6.900000,6.900000,6.900000,62912603
2021-06-09,6.950000,7.200000,6.700000,7.100000,7.100000,101519938
2021-06-10,7.100000,7.400000,7.050000,7.300000,7.300000,80450221
2021-06-11,7.400000,7.500000,7.050000,7.100000,7.100000,47548263
2021-06-14,7.150000,7.200000,6.750000,7.050000,7.050000,41818805
2021-06-15,7.100000,7.400000,7.050000,7.200000,7.200000,78581714
2021-06-16,7.300000,7.400000,7.000000,7.100000,7.100000,40800984
